Device,Run,SampleIndex,Timestamp_us,ADC_Value,Avg_Time_us
Master,1,306,1401.48,592,4.58
Master,1,307,1406.06,595,4.58
Master,1,308,1410.64,589,4.58
Master,1,309,1415.22,595,4.58
Master,1,310,1419.8,582,4.58
Master,1,311,1424.38,584,4.58
Master,1,312,1428.96,576,4.58
Master,1,313,1433.54,574,4.58
Master,1,314,1438.1200000000001,568,4.58
Master,1,315,1442.7,568,4.58
Master,1,316,1447.28,565,4.58
Master,1,317,1451.8600000000001,559,4.58
Master,1,318,1456.44,554,4.58
Master,1,319,1461.02,569,4.58
Master,1,320,1465.6,571,4.58
Master,1,321,1470.18,567,4.58
Master,1,322,1474.76,558,4.58
Master,1,323,1479.34,577,4.58
Master,1,324,1483.92,591,4.58
Master,1,325,1488.5,610,4.58
Master,1,326,1493.08,646,4.58
Master,1,327,1497.66,648,4.58
Master,1,328,1502.24,672,4.58
Master,1,329,1506.82,695,4.58
Master,1,330,1511.4,722,4.58
Master,1,331,1515.98,760,4.58
Master,1,332,1520.56,819,4.58
Master,1,333,1525.14,867,4.58
Master,1,334,1529.72,926,4.58
Master,1,335,1534.3,992,4.58
Master,1,336,1538.88,1057,4.58
Master,1,337,1543.46,1119,4.58
Master,1,338,1548.04,1180,4.58
Master,1,339,1552.6200000000001,1256,4.58
Master,1,340,1557.2,1305,4.58
Master,1,341,1561.78,1377,4.58
Master,1,342,1566.3600000000001,1418,4.58
Master,1,343,1570.94,1480,4.58
Master,1,344,1575.52,1539,4.58
Master,1,345,1580.1000000000001,1583,4.58
Master,1,346,1584.68,1633,4.58
Master,1,347,1589.26,1667,4.58
Master,1,348,1593.84,1711,4.58
Master,1,349,1598.42,1736,4.58
Master,1,350,1603.0,1772,4.58
Master,1,351,1607.58,1785,4.58
Master,1,352,1612.16,1801,4.58
Master,1,353,1616.74,1806,4.58
Master,1,354,1621.32,1822,4.58
Master,1,355,1625.9,1832,4.58
Master,1,356,1630.48,1865,4.58
Master,1,357,1635.06,1879,4.58
Master,1,358,1639.64,1903,4.58
Master,1,359,1644.22,1928,4.58
Master,1,360,1648.8,1955,4.58
Master,1,361,1653.38,1987,4.58
Master,1,362,1657.96,1996,4.58
Master,1,363,1662.54,2028,4.58
Master,1,364,1667.1200000000001,2033,4.58
Master,1,365,1671.7,2051,4.58
Master,1,366,1676.28,2063,4.58
Master,1,367,1680.8600000000001,2056,4.58
Master,1,368,1685.44,2064,4.58
Master,1,369,1690.02,2049,4.58
Master,1,370,1694.6000000000001,2023,4.58
Master,1,371,1699.18,2024,4.58
Master,1,372,1703.76,2009,4.58
Master,1,373,1708.34,2023,4.58
Master,1,374,1712.92,2015,4.58
Master,1,375,1717.5,2036,4.58
Master,1,376,1722.08,2051,4.58
Master,1,377,1726.66,2051,4.58
Master,1,378,1731.24,2068,4.58
Master,1,379,1735.82,2072,4.58
Master,1,380,1740.4,2083,4.58
Master,1,381,1744.98,2092,4.58
Master,1,382,1749.56,2076,4.58
Master,1,383,1754.14,2087,4.58
Master,1,384,1758.72,2067,4.58
Master,1,385,1763.3,2054,4.58
Master,1,386,1767.88,2030,4.58
Master,1,387,1772.46,2012,4.58
Master,1,388,1777.04,2012,4.58
Master,1,389,1781.6200000000001,2017,4.58
Master,1,390,1786.2,2015,4.58
Master,1,391,1790.78,2024,4.58
Master,1,392,1795.3600000000001,2019,4.58
Master,1,393,1799.94,2035,4.58
Master,1,394,1804.52,2028,4.58
Master,1,395,1809.1000000000001,2040,4.58
Master,1,396,1813.68,2049,4.58
Master,1,397,1818.26,2041,4.58
Master,1,398,1822.84,2039,4.58
Master,1,399,1827.42,2023,4.58
Master,1,400,1832.0,1999,4.58
Master,1,401,1836.58,1987,4.58
Master,1,402,1841.16,1967,4.58
Master,1,403,1845.74,1975,4.58
Master,1,404,1850.32,1967,4.58
Master,1,405,1854.9,1975,4.58
Master,1,406,1859.48,1988,4.58
Master,1,407,1864.06,1982,4.58
Master,1,408,1868.64,2000,4.58
Master,1,409,1873.22,2001,4.58
Master,1,410,1877.8,2009,4.58
Master,1,411,1882.38,2024,4.58
Master,1,412,1886.96,2007,4.58
Master,1,413,1891.54,2015,4.58
Master,1,414,1896.1200000000001,1996,4.58
Master,1,415,1900.7,1968,4.58
Master,1,416,1905.28,1911,4.58
Master,1,417,1909.8600000000001,1903,4.58
Master,1,418,1914.44,1916,4.58
Master,1,419,1919.02,1912,4.58
Master,1,420,1923.6000000000001,1923,4.58
Master,1,421,1928.18,1935,4.58
Master,1,422,1932.76,1932,4.58
Master,1,423,1937.34,1948,4.58
Master,1,424,1941.92,1953,4.58
Master,1,425,1946.5,1959,4.58
Master,1,426,1951.08,1976,4.58
Master,1,427,1955.66,1968,4.58
Master,1,428,1960.24,1975,4.58
Master,1,429,1964.82,1959,4.58
Master,1,430,1969.4,1952,4.58
Master,1,431,1973.98,1923,4.58
Master,1,432,1978.56,1902,4.58
Master,1,433,1983.14,1904,4.58
Master,1,434,1987.72,1889,4.58
Master,1,435,1992.3,1903,4.58
Master,1,436,1996.88,1911,4.58
Master,1,437,2001.46,1902,4.58
Master,1,438,2006.04,1917,4.58
Master,1,439,2010.6200000000001,1915,4.58
Master,1,440,2015.2,1927,4.58
Master,1,441,2019.78,1932,4.58
Master,1,442,2024.3600000000001,1923,4.58
Master,1,443,2028.94,1927,4.58
Master,1,444,2033.52,1912,4.58
Master,1,445,2038.1000000000001,1896,4.58
Master,1,446,2042.68,1864,4.58
Master,1,447,2047.26,1841,4.58
Master,1,448,2051.84,1847,4.58
Master,1,449,2056.42,1844,4.58
Master,1,450,2061.0,1855,4.58
Master,1,451,2065.58,1875,4.58
Master,1,452,2070.16,1870,4.58
Master,1,453,2074.7400000000002,1889,4.58
Master,1,454,2079.32,1891,4.58
Master,1,455,2083.9,1902,4.58
Master,1,456,2088.48,1916,4.58
Master,1,457,2093.06,1904,4.58
Master,1,458,2097.64,1907,4.58
Master,1,459,2102.2200000000003,1911,4.58
Master,1,460,2106.8,1886,4.58
Master,1,461,2111.38,1878,4.58
Master,1,462,2115.96,1880,4.58
Master,1,463,2120.54,1879,4.58
Master,1,464,2125.12,1871,4.58
Master,1,465,2129.7,1884,4.58
Master,1,466,2134.28,1889,4.58
Master,1,467,2138.86,1894,4.58
Master,1,468,2143.44,1912,4.58
Master,1,469,2148.02,1907,4.58
Master,1,470,2152.6,1921,4.58
Master,1,471,2157.18,1916,4.58
Master,1,472,2161.76,1916,4.58
Master,1,473,2166.34,1919,4.58
Master,1,474,2170.92,1899,4.58
Master,1,475,2175.5,1884,4.58
Master,1,476,2180.08,1873,4.58
Master,1,477,2184.66,1863,4.58
Master,1,478,2189.2400000000002,1862,4.58
Master,1,479,2193.82,1844,4.58
Master,1,480,2198.4,1853,4.58
Master,1,481,2202.98,1859,4.58
Master,1,482,2207.56,1863,4.58
Master,1,483,2212.14,1880,4.58
Master,1,484,2216.7200000000003,1872,4.58
Master,1,485,2221.3,1879,4.58
Master,1,486,2225.88,1879,4.58
Master,1,487,2230.46,1868,4.58
Master,1,488,2235.04,1872,4.58
Master,1,489,2239.62,1831,4.58
Master,1,490,2244.2,1790,4.58
Master,1,491,2248.78,1768,4.58
Master,1,492,2253.36,1771,4.58
Master,1,493,2257.94,1779,4.58
Master,1,494,2262.52,1774,4.58
Master,1,495,2267.1,1792,4.58
Master,1,496,2271.68,1793,4.58
Master,1,497,2276.26,1799,4.58
Master,1,498,2280.84,1826,4.58
Master,1,499,2285.42,1820,4.58
Master,1,500,2290.0,1840,4.58
Master,1,501,2294.58,1839,4.58
Master,1,502,2299.16,1838,4.58
Master,1,503,2303.7400000000002,1852,4.58
Master,1,504,2308.32,1832,4.58
Master,1,505,2312.9,1811,4.58
Master,1,506,2317.48,1798,4.58
Master,1,507,2322.06,1804,4.58
Master,1,508,2326.64,1801,4.58
Master,1,509,2331.2200000000003,1799,4.58
Master,1,510,2335.8,1818,4.58
Master,1,511,2340.38,1812,4.58
Master,1,512,2344.96,1825,4.58
Master,1,513,2349.54,1839,4.58
Master,1,514,2354.12,1831,4.58
Master,1,515,2358.7,1848,4.58
Master,1,516,2363.28,1844,4.58
Master,1,517,2367.86,1849,4.58
Master,1,518,2372.44,1847,4.58
Master,1,519,2377.02,1831,4.58
Master,1,520,2381.6,1820,4.58
Master,1,521,2386.18,1777,4.58
Master,1,522,2390.76,1767,4.58
Master,1,523,2395.34,1759,4.58
Master,1,524,2399.92,1760,4.58
Master,1,525,2404.5,1775,4.58
Master,1,526,2409.08,1770,4.58
Master,1,527,2413.66,1780,4.58
Master,1,528,2418.2400000000002,1792,4.58
Master,1,529,2422.82,1785,4.58
Master,1,530,2427.4,1795,4.58
Master,1,531,2431.98,1788,4.58
Master,1,532,2436.56,1785,4.58
Master,1,533,2441.14,1783,4.58
Master,1,534,2445.7200000000003,1750,4.58
Master,1,535,2450.3,1712,4.58
Master,1,536,2454.88,1687,4.58
Master,1,537,2459.46,1695,4.58
Master,1,538,2464.04,1704,4.58
Master,1,539,2468.62,1703,4.58
Master,1,540,2473.2,1725,4.58
Master,1,541,2477.78,1729,4.58
Master,1,542,2482.36,1751,4.58
Master,1,543,2486.94,1758,4.58
Master,1,544,2491.52,1756,4.58
Master,1,545,2496.1,1779,4.58
Master,1,546,2500.68,1771,4.58
Master,1,547,2505.26,1774,4.58
Master,1,548,2509.84,1780,4.58
Master,1,549,2514.42,1760,4.58
Master,1,550,2519.0,1747,4.58
Master,1,551,2523.58,1743,4.58
Master,1,552,2528.16,1748,4.58
Master,1,553,2532.7400000000002,1736,4.58
Master,1,554,2537.32,1735,4.58
Master,1,555,2541.9,1743,4.58
Master,1,556,2546.48,1744,4.58
Master,1,557,2551.06,1761,4.58
Master,1,558,2555.64,1766,4.58
Master,1,559,2560.2200000000003,1768,4.58
Master,1,560,2564.8,1777,4.58
Master,1,561,2569.38,1767,4.58
Master,1,562,2573.96,1770,4.58
Master,1,563,2578.54,1756,4.58
Master,1,564,2583.12,1744,4.58
Master,1,565,2587.7,1713,4.58
Master,1,566,2592.28,1679,4.58
Master,1,567,2596.86,1679,4.58
Master,1,568,2601.44,1680,4.58
Master,1,569,2606.02,1673,4.58
Master,1,570,2610.6,1687,4.58
Master,1,571,2615.18,1683,4.58
Master,1,572,2619.76,1692,4.58
Master,1,573,2624.34,1712,4.58
Master,1,574,2628.92,1705,4.58
Master,1,575,2633.5,1719,4.58
Master,1,576,2638.08,1708,4.58
Master,1,577,2642.66,1712,4.58
Master,1,578,2647.2400000000002,1703,4.58
Master,1,579,2651.82,1678,4.58
Master,1,580,2656.4,1652,4.58
Master,1,581,2660.98,1649,4.58
Master,1,582,2665.56,1655,4.58
Master,1,583,2670.14,1654,4.58
Master,1,584,2674.7200000000003,1663,4.58
Master,1,585,2679.3,1683,4.58
Master,1,586,2683.88,1679,4.58
Master,1,587,2688.46,1703,4.58
Master,1,588,2693.04,1708,4.58
Master,1,589,2697.62,1712,4.58
Master,1,590,2702.2,1729,4.58
