Device,Run,SampleIndex,Timestamp_us,ADC_Value,Avg_Time_us
Master,1,0,0.0,613,4.58
Master,1,1,4.58,612,4.58
Master,1,2,9.16,625,4.58
Master,1,3,13.74,632,4.58
Master,1,4,18.32,643,4.58
Master,1,5,22.9,626,4.58
Master,1,6,27.48,633,4.58
Master,1,7,32.06,651,4.58
Master,1,8,36.64,642,4.58
Master,1,9,41.22,644,4.58
Master,1,10,45.8,652,4.58
Master,1,11,50.38,651,4.58
Master,1,12,54.96,655,4.58
Master,1,13,59.54,652,4.58
Master,1,14,64.12,652,4.58
Master,1,15,68.7,663,4.58
Master,1,16,73.28,657,4.58
Master,1,17,77.86,644,4.58
Master,1,18,82.44,643,4.58
Master,1,19,87.02,642,4.58
Master,1,20,91.6,630,4.58
Master,1,21,96.18,618,4.58
Master,1,22,100.76,619,4.58
Master,1,23,105.34,619,4.58
Master,1,24,109.92,614,4.58
Master,1,25,114.5,604,4.58
Master,1,26,119.08,592,4.58
Master,1,27,123.66,592,4.58
Master,1,28,128.24,589,4.58
Master,1,29,132.82,574,4.58
Master,1,30,137.4,572,4.58
Master,1,31,141.98,583,4.58
Master,1,32,146.56,583,4.58
Master,1,33,151.14000000000001,566,4.58
Master,1,34,155.72,580,4.58
Master,1,35,160.3,587,4.58
Master,1,36,164.88,595,4.58
Master,1,37,169.46,594,4.58
Master,1,38,174.04,594,4.58
Master,1,39,178.62,605,4.58
Master,1,40,183.2,594,4.58
Master,1,41,187.78,587,4.58
Master,1,42,192.36,600,4.58
Master,1,43,196.94,592,4.58
Master,1,44,201.52,582,4.58
Master,1,45,206.1,582,4.58
Master,1,46,210.68,580,4.58
Master,1,47,215.26,575,4.58
Master,1,48,219.84,567,4.58
Master,1,49,224.42000000000002,566,4.58
Master,1,50,229.0,559,4.58
Master,1,51,233.58,553,4.58
Master,1,52,238.16,561,4.58
Master,1,53,242.74,559,4.58
Master,1,54,247.32,552,4.58
Master,1,55,251.9,553,4.58
Master,1,56,256.48,558,4.58
Master,1,57,261.06,559,4.58
Master,1,58,265.64,558,4.58
Master,1,59,270.22,549,4.58
Master,1,60,274.8,543,4.58
Master,1,61,279.38,542,4.58
Master,1,62,283.96,548,4.58
Master,1,63,288.54,549,4.58
Master,1,64,293.12,551,4.58
Master,1,65,297.7,540,4.58
Master,1,66,302.28000000000003,533,4.58
Master,1,67,306.86,528,4.58
Master,1,68,311.44,531,4.58
Master,1,69,316.02,535,4.58
Master,1,70,320.6,522,4.58
Master,1,71,325.18,520,4.58
Master,1,72,329.76,523,4.58
Master,1,73,334.34000000000003,533,4.58
Master,1,74,338.92,529,4.58
Master,1,75,343.5,535,4.58
Master,1,76,348.08,550,4.58
Master,1,77,352.66,556,4.58
Master,1,78,357.24,577,4.58
Master,1,79,361.82,577,4.58
Master,1,80,366.4,579,4.58
Master,1,81,370.98,584,4.58
Master,1,82,375.56,588,4.58
Master,1,83,380.14,597,4.58
Master,1,84,384.72,611,4.58
Master,1,85,389.3,615,4.58
Master,1,86,393.88,622,4.58
Master,1,87,398.46,621,4.58
Master,1,88,403.04,619,4.58
Master,1,89,407.62,634,4.58
Master,1,90,412.2,635,4.58
Master,1,91,416.78000000000003,635,4.58
Master,1,92,421.36,635,4.58
Master,1,93,425.94,637,4.58
Master,1,94,430.52,644,4.58
Master,1,95,435.1,635,4.58
Master,1,96,439.68,637,4.58
Master,1,97,444.26,640,4.58
Master,1,98,448.84000000000003,640,4.58
Master,1,99,453.42,647,4.58
Master,1,100,458.0,642,4.58
Master,1,101,462.58,644,4.58
Master,1,102,467.16,651,4.58
Master,1,103,471.74,645,4.58
Master,1,104,476.32,655,4.58
Master,1,105,480.90000000000003,650,4.58
Master,1,106,485.48,672,4.58
Master,1,107,490.06,656,4.58
Master,1,108,494.64,652,4.58
Master,1,109,499.22,668,4.58
Master,1,110,503.8,663,4.58
Master,1,111,508.38,663,4.58
Master,1,112,512.96,671,4.58
Master,1,113,517.54,676,4.58
Master,1,114,522.12,688,4.58
Master,1,115,526.7,687,4.58
Master,1,116,531.28,679,4.58
Master,1,117,535.86,679,4.58
Master,1,118,540.44,667,4.58
Master,1,119,545.02,648,4.58
Master,1,120,549.6,638,4.58
Master,1,121,554.1800000000001,626,4.58
Master,1,122,558.76,616,4.58
Master,1,123,563.34,606,4.58
Master,1,124,567.92,604,4.58
Master,1,125,572.5,593,4.58
Master,1,126,577.08,595,4.58
Master,1,127,581.66,593,4.58
Master,1,128,586.24,589,4.58
Master,1,129,590.82,593,4.58
Master,1,130,595.4,587,4.58
Master,1,131,599.98,587,4.58
Master,1,132,604.5600000000001,583,4.58
Master,1,133,609.14,582,4.58
Master,1,134,613.72,586,4.58
Master,1,135,618.3,585,4.58
Master,1,136,622.88,597,4.58
Master,1,137,627.46,594,4.58
Master,1,138,632.04,584,4.58
Master,1,139,636.62,589,4.58
Master,1,140,641.2,597,4.58
Master,1,141,645.78,599,4.58
Master,1,142,650.36,593,4.58
Master,1,143,654.94,597,4.58
Master,1,144,659.52,601,4.58
Master,1,145,664.1,603,4.58
Master,1,146,668.6800000000001,598,4.58
Master,1,147,673.26,593,4.58
Master,1,148,677.84,593,4.58
Master,1,149,682.42,591,4.58
Master,1,150,687.0,582,4.58
Master,1,151,691.58,577,4.58
Master,1,152,696.16,583,4.58
Master,1,153,700.74,576,4.58
Master,1,154,705.32,579,4.58
Master,1,155,709.9,579,4.58
Master,1,156,714.48,578,4.58
Master,1,157,719.0600000000001,590,4.58
